,API_NUMBER,LATITUDE,LONGITUDE
144853,120190151300.0,40.325516,-88.346634
148642,120190025600.0,39.879219,-88.311065
148643,120190025500.0,39.890119,-88.292857
148644,120190025700.0,39.879243,-88.282002
148645,120190028700.0,40.369602,-88.270817
148646,120190056500.0,40.189505,-88.184819
148647,120190056600.0,40.399059,-88.256584
148648,120190056700.0,40.395596,-88.290078
148649,120190056800.0,40.400157,-88.136981
148650,120190056900.0,40.399738,-88.165267
148651,120190057000.0,40.399428,-88.197738
148652,120190017600.0,40.246307,-88.150006
148653,120190017700.0,40.171551,-88.163078
148654,120190017800.0,40.224804,-88.135231
148655,120190020900.0,40.276207,-88.136223
148656,120190021000.0,40.214848,-88.199471
148657,120190024900.0,39.915304,-88.297745
148658,120190025000.0,39.908271,-88.283275
148659,120190025100.0,39.893576,-88.275507
148660,120190025200.0,39.903055,-88.293021
148661,120190025300.0,39.908108,-88.304833
148662,120190025400.0,39.892531,-88.302228
148813,120190119500.0,40.15657,-88.105362
148814,120190119600.0,40.083881,-88.119194
148815,120190119700.0,40.083748,-88.07355
148816,120190119800.0,40.109583,-88.104838
148817,120190119900.0,40.084275,-88.153635
148818,120190120000.0,40.116337,-88.143335
148819,120190120100.0,40.253652,-88.174793
148820,120190126700.0,39.901582,-87.957561
148821,120190128100.0,39.937662,-87.957321
148822,120190128200.0,40.026471,-88.048204
148823,120190128300.0,40.002933,-88.010138
148824,120190114500.0,40.282663,-88.174082
148825,120190116300.0,40.326544,-88.194321
148826,120190116500.0,40.351841,-88.194027
148827,120190117900.0,40.282691,-88.146709
148828,120190118400.0,40.304086,-88.194191
148829,120190118600.0,40.319353,-88.159996
148830,120190118700.0,40.29706,-88.17455
148831,120190118800.0,40.200908,-88.097561
148954,120190119200.0,40.260987,-88.155388
148955,120190119300.0,40.268319,-88.165334
148956,120190119400.0,40.18654,-88.086187
149050,120192389500.0,40.267465,-88.406016
149051,120192389600.0,40.267484,-88.409892
149052,120192389700.0,40.267529,-88.429345
